식품명,식품기원명,식품대분류명,대표식품명,영양성분함량기준량,에너지(kcal),단백질(g),지방(g),탄수화물(g),당류(g),나트륨(mg),콜레스테롤(mg)
녹두 국수,식물성,두류,녹두 국수,100g,344,0.2,0.4,87.5,0,14,0
녹두묵,식물성,두류,녹두묵,100g,40,0.12,0.03,9.81,0.02,92,0
동부,식물성,두류,동부,100g,166,9.51,1.02,29.34,0.21,2,0
라이마빈스,식물성,두류,라이마빈스,100g,306,21.9,1.8,60.8,1.2,,0
작두,식물성,두류,작두(도두),100g,125,9,0.3,21.5,,3,
잠두,식물성,두류,잠두,100g,341,26.12,1.53,58.29,5.7,13,0
꿀,식물성,당류,꿀,100g,317,0.28,0.01,85.83,72.67,1,0
당밀,식물성,당류,당밀,100g,274,0.2,0,68.2,,10,0
설탕,식물성,당류,설탕,100g,389,0,0,99.77,97.81,2,0
포도당,식물성,당류,포도당,100g,342,0,0,91,88.2,,0
녹두,식물성,두류,녹두,100g,352,24.51,1.52,60.15,0,1,0
배추,식물성,채소류,배추,100g,23,2.02,0.17,4.78,2.45,50,0
백모근,식물성,채소류,백모근,100g,337,9,2,77,,115,
부지갱이,식물성,채소류,부지갱이(섬쑥부쟁이),100g,30,3.65,0.43,4.9,1.21,15,0
부추,식물성,채소류,부추,100g,46,1.2,0.1,11.9,,2,
국화꽃,식물성,채소류,국화꽃,100g,25,1.4,0,6.5,,2,0
미나리,식물성,채소류,미나리,100g,22,0.9,0.16,5.15,1.43,6,0
민들레,식물성,채소류,민들레,100g,29,2.44,0.44,5.48,0,1,0
바셀라,식물성,채소류,바셀라,100g,11,0.7,0.2,2.6,,9,0
바질,식물성,채소류,바질,100g,32,2.43,0.71,5.56,0.8,3,0
박,식물성,채소류,박,100g,32,1,0.1,8,,5,
박고지,식물성,채소류,박고지,100g,268,7.6,0.4,69,,14,
박쥐나무,식물성,채소류,박쥐나무,100g,100,6.7,1.2,20.7,,27,
방가지똥,식물성,채소류,방가지똥,100g,46,2.5,0.4,10.3,,5,
방울다다기양배추,식물성,채소류,방울다다기양배추,100g,49,3.28,0.16,11.17,3.55,25,0
무,식물성,채소류,무,100g,15,0.5,0.1,4.1,2.7,19,0
무순,식물성,채소류,무순,100g,20,1.89,1.01,1.82,0.67,15,0
무청,식물성,채소류,무청,100g,22,2.3,0.7,2.9,,38,
무시래기,식물성,채소류,무시래기,100g,23,1.58,0.27,4.68,0,91,0
무 절임,식물성,채소류,무 절임(치킨무),100g,22,0.44,0.21,4.89,3.54,219,0
무말랭이,식물성,채소류,무말랭이,100g,318,13.59,0.3,65.34,19.91,303,0
물냉이,식물성,채소류,물냉이,100g,23,3.5,0.1,3.7,,28,
물쑥,식물성,채소류,물쑥,100g,36,5.4,0.3,5.6,,,
마늘,식물성,채소류,마늘,100g,120,6.99,0.99,22.78,2.26,14,0
풋마늘,식물성,채소류,풋마늘,100g,29,1.9,0.17,7.33,4.01,2,0
마늘종,식물성,채소류,마늘종,100g,53,1.86,0.06,13.39,5.46,1,0
단무지,식물성,채소류,단무지,100g,12,0.36,0.05,2.42,0.55,637,0
마타리,식물성,채소류,마타리,100g,45,2.1,0.1,10.9,,,
머위,식물성,채소류,머위,100g,17,2.31,0.14,2.74,0.07,2,0
두릅,식물성,채소류,두릅,100g,32,3.49,0.28,5.81,0,2,0
둥굴레,식물성,채소류,둥굴레,100g,52,3.4,0.2,11.7,,9,
리크,식물성,채소류,리크,100g,54,1.8,0.3,13.2,,4,
당근,식물성,채소류,당근,100g,31,1.02,0.13,7.03,6.23,23,0
더덕,식물성,채소류,더덕,100g,80,2.28,0.76,17.58,4.86,0,0
도라지,식물성,채소류,도라지,100g,65,2.01,0.15,15.15,1.14,3,0
돌나물,식물성,채소류,돌나물,100g,15,1.19,0.08,3.23,0,0,0
동아,식물성,채소류,동아,100g,15,0.5,0.1,3.8,,1,0
꾸지뽕,식물성,채소류,꾸지뽕,100g,61,3.93,0.51,13.15,0.98,1,0
근대,식물성,채소류,근대,100g,18,1.78,0.2,3.28,0,173,0
꽃양배추,식물성,채소류,꽃양배추(콜리플라워),100g,27,2.17,0.48,4.84,2.28,13,0
꿀풀,식물성,채소류,꿀풀(하고초),100g,48,1.6,0.2,11.9,,3,
날개콩,식물성,채소류,날개콩,100g,36,1.9,0.2,6.5,,,
냉이,식물성,채소류,냉이,100g,41,4.23,0.27,8.06,1.28,5,0
누리장나무잎,식물성,채소류,누리장나무잎,100g,65,4.5,1,12.7,,,
는쟁이냉이,식물성,채소류,는쟁이냉이,100g,28,2.5,0.3,5.4,,,
달래,식물성,채소류,달래,100g,28,1.9,0.22,6.1,1.46,7,0
당귀,식물성,채소류,당귀,100g,43,3.2,0.4,8.8,,3,
고추,식물성,채소류,고추,100g,26,1.2,0.2,6,,0,
고춧잎,식물성,채소류,고춧잎,100g,45,5.07,0.32,8.49,0,4,0
고추냉이,식물성,채소류,고추냉이,100g,103,2.9,0.5,23.7,,1,
곤달비,식물성,채소류,곤달비,100g,42,1.8,0.5,9.4,,2,
곰취,식물성,채소류,곰취,100g,32,3.04,0.49,5.77,1.1,2,0
공심채,식물성,채소류,공심채,100g,26,1.67,0.25,5.57,0.66,33,0
고사리,식물성,채소류,고사리,100g,22,2.9,0.17,3.8,0.2,0,0
고수,식물성,채소류,고수(향채),100g,25,2.43,0.31,4.53,0.7,51,0
유채,식물성,채소류,유채,100g,36,4.1,0.4,6,,12,0
잇꽃,식물성,채소류,잇꽃(홍화),100g,45,3.9,0.4,9,,5,
비비추,식물성,채소류,비비추(이밥추),100g,48,3,0.6,10.1,,3,
자운영,식물성,채소류,자운영,100g,40,4.6,0.6,6.6,,,
잔대,식물성,채소류,잔대,100g,55,3.4,0.9,9.9,,1,
전호,식물성,채소류,전호,100g,23,3.1,0.1,4.2,,62,
제비쑥,식물성,채소류,제비쑥,100g,35,4.5,0.7,5,,,
조뱅이,식물성,채소류,조뱅이,100g,47,4,0.2,10.1,,,
죽순,식물성,채소류,죽순,100g,24,3.48,0.22,3.77,1.11,0,0
줄나물,식물성,채소류,줄나물,100g,236,29.7,1.7,41.9,,,
진달래꽃,식물성,채소류,진달래꽃,100g,26,1,0.1,6.3,,17,
질경이,식물성,채소류,질경이,100g,48,3,0.2,10.8,,16,
영아자,식물성,채소류,영아자,100g,34,2.5,0.1,7.7,,14,
오이,식물성,채소류,오이,100g,13,1.06,0.05,2.79,1.51,3,0
오크라,식물성,채소류,오크라,100g,26,2.1,0.2,6.6,1.9,4,
우엉,식물성,채소류,우엉,100g,69,2.61,0.06,15.29,2.87,6,0
원추리,식물성,채소류,원추리,100g,35,3.55,0.36,6.48,2.51,1,0
어수리,식물성,채소류,어수리,100g,45,2.4,0.3,10.4,,16,
얼갈이배추,식물성,채소류,얼갈이배추,100g,14,1.22,0.08,2.78,0.55,54,0
엄나무,식물성,채소류,엄나무(개두릅),100g,41,6.94,0.67,5.2,0.36,1,0
엉겅퀴,식물성,채소류,엉겅퀴,100g,267,22.4,1.6,55.6,,7,
여주,식물성,채소류,여주(고야),100g,22,1.28,0.36,4.48,0.36,0,0
연근,식물성,채소류,연근,100g,75,1.63,0.07,17.28,1.81,21,0
열대비름,식물성,채소류,열대비름(아마란스),100g,21,2.99,0.35,3.11,0,18,0
열무,식물성,채소류,열무,100g,14,2.08,0.21,1.99,0,48,0
염교,식물성,채소류,염교(락교),100g,93,0.52,1,21.79,18.72,840,0
양파,식물성,채소류,양파,100g,29,0.84,0.04,6.97,4.56,3,0
양하,식물성,채소류,양하,100g,13,0.6,0.1,2.8,,1,
씀바귀,식물성,채소류,씀바귀,100g,71,2.54,0.13,16.24,5.05,3,0
아스파라거스,식물성,채소류,아스파라거스,100g,17,2.02,0.34,2.53,1.35,3,0
아욱,식물성,채소류,아욱,100g,37,3.08,0.31,7.64,0,37,0
아이비카,식물성,채소류,아이비카,100g,260,27.7,4.4,43.7,,,
아주까리,식물성,채소류,아주까리,100g,287,36.8,3.1,48,,50,
알로에,식물성,채소류,알로에,100g,3,0.1,,0.7,,13,
알팔파,식물성,채소류,알팔파,100g,21,3.53,0.2,3.14,0.34,5,0
양배추,식물성,채소류,양배추,100g,33,1.68,0.08,7.92,4.79,8,0
시금치,식물성,채소류,시금치,100g,34,4.19,0.63,5.19,0,57,0
신선초,식물성,채소류,신선초(명일엽),100g,24,1.08,0.14,5.66,1.95,31,0
쌈추,식물성,채소류,쌈추,100g,25,3.07,0.23,4.29,0,29,0
쑥,식물성,채소류,쑥,100g,37,3.4,0.38,7.04,0,3,0
쑥갓,식물성,채소류,쑥갓,100g,15,1.93,0.17,2.35,0,145,0
쑥부쟁이,식물성,채소류,쑥부쟁이,100g,26,2.92,0.72,3.53,0.08,1,0
숙주나물,식물성,채소류,숙주나물,100g,12,2.2,0.2,1.4,,5,
순무,식물성,채소류,순무,100g,27,1.5,0.09,5.65,1.93,59,0
스테비아,식물성,채소류,스테비아,100g,40,2.4,0.32,8.71,0,1,0
참나물,식물성,채소류,참나물,100g,39,3.5,0.4,7.6,,4,
상추,식물성,채소류,상추,100g,16,0.94,0.09,3.66,1.96,4,0
생강,식물성,채소류,생강,100g,38,1.3,0.3,8.4,,11,
섬초롱,식물성,채소류,섬초롱,100g,41,3,0.4,8.5,,2,
세발나물,식물성,채소류,세발나물,100g,18,1.61,0.14,3.59,0,321,0
셀러리,식물성,채소류,셀러리,100g,17,1.04,0.07,3.95,0,70,0
소리쟁이,식물성,채소류,소리쟁이,100g,259,21.7,2.2,52.6,,77,
쇠귀나물,식물성,채소류,쇠귀나물,100g,128,6.3,0.1,26.6,,3,0
수리취,식물성,채소류,수리취(떡취),100g,64,3.9,0.2,14.7,,,
비트,식물성,채소류,비트,100g,23,1.28,0.13,4.66,2.82,69,0
사탕수수,식물성,채소류,사탕수수,100g,77,1.1,0,20.9,,10,
산마늘,식물성,채소류,산마늘(명이나물),100g,36,2.02,0.21,8.21,3.8,0,0
삼나물,식물성,채소류,삼나물,100g,293,22.8,2.2,61.3,,,
브로콜리,식물성,채소류,브로콜리,100g,32,3.08,0.2,6.32,0.79,3,0
비름,식물성,채소류,비름,100g,23,2.72,0.29,3.96,0.31,65,0
비타민채,식물성,채소류,비타민채(다채),100g,14,2.1,0.2,2,,17,
뽕잎,식물성,채소류,뽕잎,100g,51,5.9,0.55,8.92,0.1,3,0
경수채,식물성,채소류,경수채,100g,26,1.68,0.24,5.57,2.1,40,0
적양무,식물성,채소류,적양무,100g,19,2.54,0.42,2.54,0.22,70,0
호박,식물성,채소류,호박,100g,12,0.82,0.07,2.52,1.35,1,0
검은비늘버섯,식물성,버섯류,검은비늘버섯,100g,13,1.8,0.1,4.5,,3,
나도팽나무버섯,식물성,버섯류,나도팽나무버섯,100g,16,2.4,0,5.7,,14,
노루궁뎅이버섯,식물성,버섯류,노루궁뎅이버섯,100g,13,2.57,0.41,2.89,0.54,2,0
퉁퉁마디,식물성,채소류,퉁퉁마디(함초),100g,19,1.34,0.15,4.13,0,1573,0
구기자,식물성,채소류,구기자,100g,50,6.27,1.08,7.05,0.78,2,0
모링가,식물성,채소류,모링가,100g,66,4.21,1.38,12.43,2.15,6,0
초석잠,식물성,채소류,초석잠,100g,76,2.3,0.56,17,0.17,1,0
삼붕냐와,식물성,채소류,삼붕냐와,100g,27,1.62,1.09,3.84,0.24,186,0
울금,식물성,채소류,울금,100g,87,1.79,2.56,15.73,3.83,11,0
배암차즈기,식물성,채소류,배암차즈기(곰보배추),100g,25,1.73,0.62,4.5,1.44,7,0
백합,식물성,채소류,백합,100g,118,3.34,1.52,24.91,0.44,2,0
루꼴라,식물성,채소류,루꼴라,100g,26,3.17,0.43,4.2,0.97,13,0
아티초크,식물성,채소류,아티초크,100g,47,3.27,0.15,10.51,0.99,94,0
호박즙,식물성,채소류,호박즙,100g,21,0.64,0,4.73,3.53,0,0
삼채,식물성,채소류,삼채,100g,23,1.55,0.13,4.99,0.81,2,0
모시풀,식물성,채소류,모시풀,100g,64,6.61,0.71,11.85,0,3,0
퉁퉁마디환,식물성,채소류,퉁퉁마디환(함초환),100g,262,9.28,6.14,52.6,0.94,7935,0
배초향,식물성,채소류,배초향(방아),100g,55,4.87,0.46,11.13,1.52,2,0
쌈무,식물성,채소류,쌈무,100g,15,0.54,0.03,3.1,1.46,400,0
사탕무,식물성,채소류,사탕무,100g,77,1.8,0,18.7,,61,
선인장,식물성,채소류,선인장,100g,83,0.97,0.19,19.35,2.53,23,0
홑잎나물,식물성,채소류,홑잎나물,100g,96,4.77,0.84,21.59,3.32,1,0
파프리카,식물성,채소류,파프리카(착색단고추),100g,38,0.97,0.79,8.22,6.28,3,0
피망,식물성,채소류,피망,100g,28,1.17,0.09,6.94,3.02,1,0
해바라기,식물성,채소류,해바라기,100g,9,2.2,0.1,0.9,,36,
토마토,식물성,채소류,토마토,100g,26,0.94,0.06,6.5,3.85,7,0
토스카노,식물성,채소류,토스카노(잎브로콜리),100g,40,4.7,0.6,6.7,,189,
파,식물성,채소류,파,100g,29,1.2,0.2,6.7,,17,
파드득나물,식물성,채소류,파드득나물(삼엽채),100g,25,1.8,0.1,5.5,,15,
파슬리,식물성,채소류,파슬리,100g,36,3.2,0.5,6.8,,35,
콜라비,식물성,채소류,콜라비,100g,22,1.16,0.05,5.16,1.55,7,0
콩나물,식물성,채소류,콩나물,100g,36,4.64,1.36,3.8,0.35,1,0
콩잎,식물성,채소류,콩잎,100g,94,6.6,0.3,21,,,
토란대,식물성,채소류,토란대,100g,16,0.28,0.05,4.25,1.52,1,0
취나물,식물성,채소류,취나물,100g,53,4.2,0.3,11.3,,38,
치커리,식물성,채소류,치커리,100g,72,1.4,0.2,17.51,8.73,50,0
칠면초,식물성,채소류,칠면초,100g,27,2.7,0.3,5,,673,
케일,식물성,채소류,케일,100g,26,3.11,0.24,4.61,0,47,0
참반디,식물성,채소류,참반디,100g,288,12.6,2.7,65.7,,6,
참빗살나무,식물성,채소류,참빗살나무,100g,61,7.4,0.7,10.3,,2,
참죽나물,식물성,채소류,참죽나물(가죽나물),100g,48,5.8,0.39,8.59,0.78,3,0
청경채,식물성,채소류,청경채,100g,10,1.41,0.09,1.64,0,17,0
총각무,식물성,채소류,총각무,100g,22,1.38,0.07,5.18,2.19,29,0
배,식물성,과일류,배,100g,46,0.3,0.04,12.4,9.81,0,0
배 과즙,식물성,과일류,배 과즙,100g,38,0.23,0,10.33,8.1,2,0
버찌,식물성,과일류,버찌,100g,60,1.7,0.1,14.9,,1,
복분자,식물성,과일류,복분자,100g,88,1.52,2.2,17.96,8.06,4,0
복숭아,식물성,과일류,복숭아,100g,48,1.8,0.7,10,,3,
블랙베리,식물성,과일류,블랙베리,100g,43,0.67,1.13,8.69,5.76,0,0
블루베리,식물성,과일류,블루베리,100g,43,0.5,0.12,11.11,7.86,0,0
비파,식물성,과일류,비파,100g,45,0.29,0.2,11.95,10.8,0,0
머루,식물성,과일류,머루,100g,79,1.51,0.94,18.32,7.39,0,0
멜론,식물성,과일류,멜론,100g,21,0.5,0.1,5.1,,13,
모과,식물성,과일류,모과,100g,78,0.7,0.4,20,,2,
무화과,식물성,과일류,무화과,100g,47,0.79,0.15,12.12,10.59,0,0
바나나,식물성,과일류,바나나,100g,77,1.11,0.2,20,14.4,0,0
딸기,식물성,과일류,딸기,100g,329,0.5,0.2,82.8,,260,0
라임,식물성,과일류,라임,100g,30,0.7,0.2,10.54,1.69,2,0
라임 주스,식물성,과일류,라임 주스,100g,25,0.42,0.07,8.42,1.69,2,0
레몬,식물성,과일류,레몬,100g,36,0.71,0.08,9.27,1.87,2,0
롱안,식물성,과일류,롱안,100g,60,1.31,0.1,15.14,,0,0
리치,식물성,과일류,리치,100g,61,1,0.1,16.4,14.9,,0
망고,식물성,과일류,망고,100g,59,0.73,0.12,15.36,13.65,0,0
매실,식물성,과일류,매실,100g,41,1.1,1.1,7.8,,3,
매실 절임,식물성,과일류,매실 절임,100g,216,1.86,0.52,51.08,33.85,1,0
귤,식물성,과일류,귤,100g,39,0.29,0.16,10.16,8.19,1,0
귤 주스,식물성,과일류,귤 주스,100g,37,0.46,0.08,9.58,8.64,1,0
금귤,식물성,과일류,금귤,100g,73,1.19,0.13,18.77,11.77,5,0
다래,식물성,과일류,다래,100g,67,1.6,0.4,16.2,,2,
대추,식물성,과일류,대추,100g,105,1.45,0.1,27.56,24.34,1,0
대추야자,식물성,과일류,대추야자,100g,281,2.2,0.2,71.3,59,,0
두리안,식물성,과일류,두리안,100g,140,2.3,3.3,27.1,,,0
꽃송이버섯,식물성,버섯류,꽃송이버섯,100g,182,15.18,4.14,66.49,0.45,12,0
양송이버섯,식물성,버섯류,양송이버섯,100g,180,31.34,2.59,53.02,1.21,68,0
감,식물성,과일류,감,100g,59,0.5,0.1,16.9,13.6,1,0
감말랭이,식물성,과일류,감말랭이,100g,255,1.94,0.16,68.61,55.11,3,0
곶감,식물성,과일류,곶감,100g,214,1.93,0.08,57.45,29.76,1,0
구아바,식물성,과일류,구아바,100g,33,0.6,0.1,9.9,3.5,3,0
표고버섯,식물성,버섯류,표고버섯,100g,21,4.71,0.3,4.98,0.96,3,0
풀버섯,식물성,버섯류,풀버섯,100g,15,2.7,0.1,4.6,,4,
잎새버섯,식물성,버섯류,잎새버섯,100g,16,2.26,0.57,4.46,0,0,0
큰느타리버섯,식물성,버섯류,큰느타리버섯(새송이버섯),100g,20,2.92,0.23,6.54,0.25,6,0
팽이버섯,식물성,버섯류,팽이버섯,100g,21,2.41,0.51,7,0.54,3,0
포타벨라,식물성,버섯류,포타벨라,100g,16,3.3,0.1,4.6,,10,
송이버섯,식물성,버섯류,송이버섯,100g,21,2.05,0.15,8.12,0.31,1,0
소금,기타,조미료류,소금,100g,16,0,0,4.1,,38659,
싸리버섯,식물성,버섯류,싸리버섯,100g,20,2.8,0.6,5.7,,,
아위버섯,식물성,버섯류,아위버섯,100g,26,3.53,0.4,8.56,0.59,6,0
애느타리버섯,식물성,버섯류,애느타리버섯,100g,16,4.2,0.1,3.5,,7,
영지버섯,식물성,버섯류,영지버섯,100g,187,9.41,1.4,81.03,0,2,0
율무느타리버섯,식물성,버섯류,율무느타리버섯,100g,21,3.6,0.3,6.4,,3,
목이버섯,식물성,버섯류,목이버섯,100g,13,0.79,0.19,5.22,0.12,10,0
