요리명,조리방법,조리분류,열량,탄수화물,단백질,지방,나트륨,재료
시금치 우유 소스와 그린매쉬드포테이토,찌기,반찬,155,32,5,1,24,"감자 80g, 시금치우유 소스 5g, 아몬드 2g, 설탕 2g, 크랜베리 3g, 치커리 5g,
 시금치 10g, 우유 10g"
버섯구이와 두부타르타르 소스,굽기,반찬,150,18,8,5,133,"새송이버섯 70g, 올리브유 10g,
 치커리 10g,
 연두부 30g, 다진 양파 10g, 다진 오이피클 10g, 올리브유 2g, 식초 5g, 레몬즙 3g, 머스터드 3g, 꿀 2g, 흰 후추 5g"
구운채소와 간장레몬 소스,굽기,반찬,175,19,4,9,38,"가지 20g, 호박 50g, 새송이버섯 15g, 양파 15g, 발사믹크레마 15g, 빨강 파프리카 3g, 노랑 파프리카 3g, 청피망 3g, 올리브유 5g,
 저염간장 5g, 식초 15g, 설탕 10g, 레몬즙 5g"
브로콜리 컬리플라워 샐러드와 두유 요거트 소스,기타,반찬,210,30,9,6,79,"브로콜리 40g, 컬리플라워 40g, 적양파 10g, 강낭콩 5g, 건포도 5알 호두 1/2알 소금 5g,
 두유 50g, 플레인요거트 20g, 레몬즙 5g, 설탕 5g"
오렌지와 당근 만남주스,기타,후식,60,14,1,0,76,"오렌지 당근펀치
당근 100g, 오렌지 100g"
칠곡석류국수,끓이기,일품,73.4,12.7,2.1,1.6,12.5,"소면 160g, 저염소금 4g, 식초 8g,
 석류 200g,
 잣 4g, 아몬드 4g, 해바라기씨 4g, 호두 4g, 호박씨 4g, 오이 20g"
블랙빈 곤약국수,끓이기,일품,54.3,4.9,3.4,2.4,18.5,"실곤약 440g, 검은콩 70g, 볶은 흑임자 6g, 호두 6g,
●장식
오이 20g, 토마토 50g, 달걀 50g"
닭가슴살 브로콜리 만두,찌기,일품,123.2,19,8.4,1.5,167.9,"만두피 4g, 브로콜리 100g, 숙주 100g, 표고버섯 20g, 닭 가슴살 100g, 참기름 2g, 저염간장 4g, 소금 0.5g, 후춧가루 0.1g"
함초 냉이 국수,끓이기,일품,35.8,7.1,1.8,0,34.5,"소면 50g,
 함초 3g, 노루궁뎅이버섯 25g, 다시마 17g, 파 140g, 양파 150g, 무 250g, 모시조개 150g, 냉이 35g, 간장 30g,
 달걀 50g, 청고추 20g, 실고추 2g"
된장 두부찌개,끓이기,국&찌개,77.3,2.4,7.5,4.2,124.6,"두부 320g, 쌀뜨물 300g, 돼지고기 100g, 김치 140g, 된장 20g, 청양고추 10g, 홍고추 5g,
대파 10g, 고춧가루 5g"
부대된장찌개,끓이기,국&찌개,72.6,4.2,5.3,3.9,191.9,"다시마 1g, 두부 10g, 떡국 떡 10g, 스팸 10g, 다진 마늘 5g, 무 20g, 김치 15g, 소시지 10g, 우민찌 5g, 양파 5g, 저염된장 15g, 베이컨 5g, 대파 5g, 청양고추 5g, 홍고추 1g"
양배추감자전,굽기,반찬,148.9,14.7,7.7,6.6,107.1,"감자 100g, 양배추 150g, 당근 15g, 두부 20g, 돼지고기 30g, 청양고추 5g, 부침가루 45g, 달걀 60g, 식용유 15g,
 오렌지즙 15g, 간장 2g, 식초 10g"
돌나물 샐러드,기타,반찬,235,2,3,24,151,"돌나물 90g, 미니새송이버섯 60g, 참기름 5g,
 마요네즈 10g, 레몬즙 20g, 청양고추 5g, 홍고추 5g, 참기름 5g"
석류 보쌈김치,기타,반찬,24.5,4.7,1.4,0,171.3,"배추 70g, 석류즙 10g, 소금 5g,
 무 10g, 미나리 10g, 쪽파 10g, 다진 마늘 5g, 다진 생강 5g, 새우젓국 15g"
유자 대구조림,끓이기,반찬,84,10.6,9.6,0.4,109.7,"대구살 120g, 홍파프리카 10g, 황파프리카 10g,청파프리카 10g, 황금팽이버섯 10g, 미나리 20g, 밀가루 25g,
 유자청 20g, 발사믹식초 10g, 화이트와인 10g,
 대파 30g"
파프리카 물김치,기타,반찬,44.9,10.1,1.1,0,272,"자색고구마 10g, 무 10g, 배 80g, 배추 200g, 부추 10g, 사과 80g, 쪽파 10g, 소금 20g,
 멥쌀 10g, 물엿 50g, 황파프리카 140g"
고추장 라따뚜이,굽기,반찬,62.6,7.6,3.1,2.2,138.5,"애호박 70g, 양송이버섯 60g, 가지 70g, 저염살라미 25g, 사과 60g,
양파 40g, 마늘 10g, 토마토 600g, 설탕 10g, 바질 50g, 고추장 15g"
민들레 샐러드,기타,반찬,53.9,10.9,2.4,0,874.2,"민들레 잎 40g, 비트 5g, 오렌지 40g,
 간장 20g, 다진 홍고추 10g, 레몬즙 60g, 설탕 6g"
토마토 가지 카프레제,굽기,후식,90.5,7.4,1.2,6.2,11.3,"가지 100g, 토마토 200g, 무순 20g, 마늘 10g, 올리브오일 5g,
 올리브오일 25g, 발사믹식초 60g, 후춧가루 2g"
우렁된장소스 배추롤,찌기,일품,326.3,43,22.3,7.2,976,"돼지고기 50g, 배춧잎 부추 30g, 쌀 100g, 당근 20g,
표고버섯 양파 50g, 애호박 우렁이 100g,
된장 30g"
인삼떡갈비,굽기,반찬,253.3,15,26.9,9.5,196,"소고기 100g, 돼지고기 100g, 대추 양파 30g,
마늘 20g, 배 애호박 단호박
파프리카 50g, 인삼 양송이 배추잎
저염간장 20g, 설탕 20g, 소금 0.2g, 후춧가루 0.01g,
두부 50g"
초계탕과 사색곤약,끓이기,반찬,100.1,7.7,15.4,0.9,54.4,"닭고기 가시오가피 10g, 대파 20g, 다시마 10g,
건새우 20g, 실곤약 100g, 비트 30g, 치자가루 10g,
마늘 20g, 소금 0.3g, 후춧가루 0.01g, 양파 50g,
오이 50g, 겨자가루 10g, 식초 20g, 설탕 20g"
호박잎 삼계탕,끓이기,일품,314.1,53.7,16,3.9,55.9,"호박잎 닭고기 가슴살 120g, 찹쌀 100g, 대추
미나리 20g, 인삼 소금 0.2g, 후춧가루 0.01g"
황태미역 곤약스프,끓이기,국&찌개,124.9,3.2,14.3,6.1,790.3,"황태채 100g, 곤약 100g, 건미역 20g, 들깨가루 20g,
두부 50g, 된장 10g, 액젓 10g, 표고버섯 마늘 10g,
참기름 5g"
훈제오리가슴살 샐러드,굽기,반찬,261.8,11.5,21,14.6,636,"오리고기 훈제오리 가슴살 150g, 발사믹소스 50g,
양파 30g, 파슬리 5g, 블루베리 20g, 레디쉬"
훈제오리가슴살크러스트,굽기,반찬,250,13.5,17.2,14.1,352.2,"오리고기 훈제오리 가슴살 150g, 로즈마리 2g, 오렌지
새송이버섯 파슬리 5g, 땅콩 50g, 올리브오일 20g,
유자청 20g, 후춧가루 0.5g"
간장소스를 곁들인 새우전복찜,찌기,반찬,119.1,8.2,19.2,1.1,455.9,"전복 새우 시금치 30g, 해초 20g,
저염간장 20g, 레몬 설탕 20g, 소금 0.1g,
마늘 10g, 녹말 10g, 식용꽃 60g"
검은콩국수,끓이기,일품,343.6,68.1,11.2,3,633.5,"검은콩 200g, 메밀면 120g, 오이 30g, 방울토마토
땅콩 20g, 잣 10g, 참깨 5g"
겨자소스로 구운 산마샐러드,굽기,반찬,112,16,3,4,144.8,"산마 100g, 참나물 20g, 돈나물 20g, 토마토 100g,
레디쉬 어린잎 10g, 저염간장 20g, 식초 10g,
설탕 20g, 겨자가루 10g,."
닭고기김치찌개,끓이기,국&찌개,277.1,1.79,5.87,2.73,776.6,"닭가슴살 60g, 애호박 30g, 미나리 20g, 청양고추 3g, 두부 60g,
김치 120g, 참기름 20g, 느타리버섯 10g, 달걀 50g,
육수 다시마 5g, 무 40g, 대파 5g, 양파 10g, 마른 고추 3g, 멸치 10g,
마늘 10g, 청주 10g, 물 300g"
완자김치찌개,끓이기,국&찌개,161.1,1.34,6.78,2.61,355,"콩나물 30g, 김치 50g,
두부 40g, 붉은 고추 15g,
다진 돼지고기 등심 60g, 새우젓 5g,
육수 대파 10g, 마늘 5g, 쇠고기 50g"
백김치콩비지찌개,끓이기,국&찌개,195.3,3.13,2.99,2.99,447.2,"풋고추 10g, 백김치 100g, 콩비지 100g,
양념 참기름 8g, 후춧가루 0.2g, 다진 마늘 10g, 간장 2g"
오징어김치찌개,끓이기,국&찌개,159.1,2.5,2.4,0.7,549,"오징어 100g, 두부 50g, 팽이버섯 20g, 붉은 고추 4g,
고구마 30g, 콩나물 20g, 김치 140g, 쑥갓 20g,
육수 무 50g, 다시마 5g, 대파 20g, 멸치 10g, 물 300g,
양념 참기름 10g, 들깻가루 5g"
해물김치찌개,끓이기,국&찌개,53.9,5.2,3,2.3,385.1,"주꾸미 40g, 김치 40g, 무 10g, 마늘 3g, 대파 3g, 양파 10g, 두부 10g, 참기름 3g, 배즙 10g, 팽이버섯 3g,
 다시마 5g, 멸치 10g, 물 300g"
맑은부대찌개,끓이기,국&찌개,395.9,8.67,6.23,2.41,334.9,"느타리버섯 10g, 두부 50g, 콩나물 10g,
배추 40g, 미나리 20g, 돼지고기 50g,
쇠고기 50g, 불린 당면 10g, 조랭이떡 30g,
다시마육수 다시마 3g, 양파 30g, 대파 20g,
무 30g, 마른 고추 5g,
고기완자양념 생강즙 2g, 다진 파 10g,
다진 마늘 5g, 후춧가루 0.1g, 소금 0.1g"
나가사키부대찌개,끓이기,국&찌개,342.7,3.99,5.37,3.63,778,"통조림 햄 30g, 우유 100g, 실곤약 50g, 양파 30g, 느타리버섯 25g,
표고버섯 10g, 팽이버섯 30g, 청양고추 5g, 붉은 고추 5g, 감자 30g,
무 30g, 두부 40g, 애호박 30g, 깻잎 3g, 쑥갓 10g,
완자 다진 돼지고기 20g, 다진 파 5g, 다진 마늘 5g, 후춧가루 1g,
소금 1g, 밀가루 10g, 달걀노른자 20g,
육수 사골육수 300g, 다시마 5g,
양념 들깻가루 15g"
삼계부대찌개,끓이기,국&찌개,299.9,8.26,4.46,0.09,163.6,"닭가슴살 100g, 당근 20g, 붉은 고추 6g,
풋고추 6g, 대파 6g, 쑥갓 4g, 표고버섯 14g,
애호박 60g, 김치 40g, 팽이버섯 40g,
당면 21g, 숙주 40g, 떡 40g,
육수 당귀 10g, 대추 20g, 오가피 30g, 함초 20g,
양념장 겨자가루 5g, 고춧가루 20g, 콩가루 5g, 쌀겨 5g, 다진 마늘 3g"
쑥갓부대찌개,끓이기,국&찌개,126.3,9.9,6.4,6.8,347.1,"통조림 햄 30g, 애호박 20g, 두부 20g, 팽이버섯 20g, 청양고추 5g, 김치 30g, 쑥갓 4g,
 다시마 5g, 물 200g,
 설탕 0.5g, 고춧가루 4g, 다진마늘 2g, 고추장 2g"
들깨순두부찌개,끓이기,국&찌개,171.7,2.92,2.8,1.36,111.6,"굴 40g, 멸치 2g, 표고버섯 10g, 느타리버섯 40g, 무 20g,
양파 10g, 미나리 10g, 대파 3g, 붉은 고추 2g, 순두부 100g,
양념 다진 마늘 1g, 들깻가루 10g, 국간장 1.5g, 소금 0.5g"
백태순두부찌개,끓이기,국&찌개,165.4,2.4,3.08,1.13,640.3,"콩 백태 30g, 느타리버섯 10g, 표고버섯 10g, 애호박 20g,
양파 10g, 대파 5g, 붉은 고추 2g, 풋고추 2g, 바지락 30g,
저염된장 10g, 새우 25g, 순두부 120g,
육수 마른 다시마 1g, 멸치 1g, 물 250g"
버섯순두부찌개,끓이기,국&찌개,85.7,6.3,6.4,3.9,243.1,"표고버섯 3g, 애호박 10g, 감자 10g, 양파 3g, 미나리 3g, 부추 1g, 대파 1g, 청양고추 1g, 순두부 100g,
 다시마 3g, 표고버섯 밑동 3g, 물 250g,
 저염된장 5g, 찹쌀가루 3g, 다진마늘 1g, 들깻가루 7g, 저염국간장 1g"
토란순두부찌개,끓이기,국&찌개,312.7,2.93,3.48,2.96,409.2,"토란 40g, 표고버섯 20g, 붉은 고추 1g, 청양고추 2g,
백합 150g, 들깻가루 40g, 순두부 150g"
토마토스프파스타,끓이기,일품,282.6,37,10.4,10.4,41.4,"홀토마토 200g, 토마토 100g, 다진양파 30g, 다진마늘 20g, 먹물파스타 25g, 치즈 25g,
파슬리가루 1g, 함초소금 1g, 올리브오일 30g,
곁들이 양파 20g, 가지 20g, 2가지색 파프리카 20g, 애호박 20g"
다이어트국수,기타,일품,36.9,6.1,0.1,1.4,490.7,"실곤약 200g, 물김치국물 200g, 오이 25g, 달걀 1개 60g,
당근 20g, 양파 50g, 통깨 3g, 레몬즙 15g,
탄산수 50ml 어간장 5g"
오징어구이,볶기,반찬,278.1,24.8,22.9,9.7,611.4,"오징어 300g, 미니파프리카 40g, 양파 50g, 청고추 15g, 홍고추 15g, 다진마늘 15g, 고춧가루 15g, 홀토마토 50g, 고추장 15g, 설탕 15g,
올리고당 15g, 후추 1g, 참기름 15g, 볶은 현미 15g"
배숙구이,굽기,후식,196.3,47,1.3,0.3,21.6,"배 750g, 후르츠칵테일 150g, 생강청 50g, 방울토마토 60g, 탄산수 200g"
웰빙스테이크,굽기,일품,273,19.2,19.2,13.2,204.4,"쇠고기등심 240g, 시금치 50g, 마늘 15g, 양파 50g, 건바질 2g,
감자 60g, 레몬 25g, 파슬리가루 1g, 르네디종 홀그레인머스터 15g, 사과 80g, 버터 15g"
오징어콩순대,굽기,일품,213.5,25,17.9,4.7,295.4,"오징어 1마리 220g, 옥수수 30g, 귀리밥 50g, 강낭콩 20g,
당근 20g, 미니파프리카 20g, 피망 20g, 대파 10g, 양파 25g,
카레가루 25g, 흰후추 1g, 다진마늘 5g, 참기름 15g, 밀가루 15g, 레몬즙 15g"
토마토소고기장조림,끓이기,반찬,282.6,20.4,31.2,8.5,941.7,"소고기 우둔살 200g, 메추리알 100g, 방울토마토 100g, 마늘 30g, 꽈리고추 50g, 양파 45g, 맛간장 30g, 흰후추 1g, 어간장 15g, 설탕 15g"
토마토소고기찜,끓이기,반찬,302.9,11.2,26.6,16.8,289.3,"소고기우둔살 200g, 샐러리 40g, 당근 30g, 양파 50g,
화이트와인 25g, 홀토마토 100g, 버터 20g, 레몬 25g, 흰후추 1g, 파슬리가루 2g, 함초소금 1g"
맛간장삼치구이,굽기,반찬,220.9,5.2,30.2,8.8,570.8,"삼치 200g, 생강 50g, 대파 100g, 통깨 1g, 버터 10g, 맛간장 30g, 생강청 25g, 커피 1g"
삼겹살꼬치구이,굽기,반찬,289.5,805,11.2,23.4,59.8,"삼겹살 200g, 방울토마토 100g, 마늘기름 15g, 후추 1g, 로즈마리 1g, 통후추 2g,
대파 20g, 마늘 10g, 꽈리고추 25g, 대파 25g, 고춧가루 1g, 레몬즙 2g"
새우아욱죽,끓이기,밥,201.3,34,13.1,1.4,471.6,"귀리밥 100g, 아욱 30g, 건새우 25g, 칵테일새우 25g, 저염 된장 30g"
까르보나라뇨끼,끓이기,일품,351.9,29.1,13.2,20.3,347.2,"감자 220g, 깻잎 10g, 베이컨 25g, 백일송이 25g,
다진마늘 15g, 다진양파 25g, 다진대파 25g, 흰후추 3g, 버터15g, 우유 200g,
생크림 30g, 설탕 10g, 치즈가루 15g"
호박죽,끓이기,일품,150.1,26.8,5.6,2.3,101.4,"단호박 200g, 찹쌀가루 100g, 브로콜리 50g, 양파 60g, 볶은 현미 25g,
버섯마늘소금 2g, 흰후추 1g, 치즈가루 15g"
라이스버거떡갈비,굽기,반찬,206.2,28.3,12.4,4.8,206.1,"밥 200g, 맛간장 15g, 전분가루 15g, 팽이버섯 20g, 흰후추 1g, 달걀 60g, 다진소고기 50g, 다진돼지고기 50g, 다진양파 30g, 다진쪽파 15g, 맛간장 10g, 후추 1g, 토마토 80g, 미나리 20g, 맛간장 5g, 청고추 15g, 홍고추 15g"
고추김치,기타,반찬,16.1,2.6,0.6,0.3,16.8,"오이고추 40g, 영양부추 5g, 연근 5g, 무 5g,
 해물육수 8g, 어간장 3g,
 고춧가루 3g, 생강청 3g, 통깨 1g"
누룽닭,끓이기,반찬,415.5,47.5,23.8,14.5,290.9,"닭가슴살 120g, 생강즙 5g, 정종 10g, 시금치 20g,
당근 20g, 양파 20g, 샐러리 20g, 파프리카 20g,
느타리 20g, 주꾸미 30g, 새우 20g, 청경채 20g,
누룽지 50g, 튀김기름 200g, 육수 200g, 저염간장 10g,
녹말가루 10g, 마늘 10g, 소금 0.2g, 후춧가루 0.1g"
광어스테이크,굽기,반찬,487.2,19.8,32.2,31,192.9,"광어 150g, 소금 0.3g, 후춧가루 0.02g, 밀가루 20g,
달걀 50g, 아몬드 20g, 호두 20g, 올리브오일 20g,
 플레인요거트 50g, 꿀 10g, 레몬즙 20g"
치즈감자크로켓,튀기기,후식,588.5,40.1,14.8,41,362.3,"감자 150g, 생크림 20g, 당근 20g, 양파 20g, 오이 20g,
소금 0.5g, 모짜렐라치즈 50g, 밀가루 20g, 달걀 50g,
빵가루 50g, 튀김기름 400g"
코코넛밀크카레,끓이기,반찬,330.2,27,24,14,389.6,"두부 100g, 소금 0.3g, 코코넛밀크 20g, 당근 20g,
양파 20g, 브로컬리 20g, 돼지고기 50g, 감자 20g,
버터 10g, 카레가루 30g, 물 250g"
소고기리조또롤,끓이기,밥,382.5,18.7,36,18.2,416.6,"쌀 50g, 강황가루 20g, 버터 10g,
마늘 10g, 양파 20g, 새송이 30g, 파프리카 30g,
소고기 150g, 소금 0.1g, 후춧가루 0.02g,
하얀된장 10g, 생크림 20g, 육수 200g"
둥지튀김,튀기기,반찬,1028.5,149.1,242.2,37.3,74.9,"닭고기살 150g, 소금 0.3g, 후춧가루 0.2g, 달걀 50g,
녹말가루 20g, 백년초국수 20g, 뽕잎국수 20g,
치자국수 20g, 튀김기름 400g,
 레몬 10g, 설탕 20g, 연유 10g, 물 50g,
다진 마늘 10g, 생강 5g, 식초 20g, 녹말가루 20g"
새우와스테이크,굽기,일품,508.4,6.3,36.2,37.6,194.4,"새우 60g, 버터 10g, 소고기 120g, 로즈마리 2g,
소금 0.3g, 후춧가루 2g,
 와인 50g, 설탕 20g, 당근 20g, 양파 20g,
토마토 30g, 마늘 20g, 대파 10g, 발사믹소스 20g,
 아스파라거스 20g, 브로컬리 20g,
새송이 20g, 가지 30g"
함초삼겹,굽기,반찬,618.4,22.5,31.8,44.6,136.9,"통삼겹살 150g, 함초가루 10g, 소금 0.5g, 후춧가루 0.2g,
부추 30g, 버터 5g,
 유자청 20g, 쌈장 10g, 설탕 20g, 생크림 20g,
연두부 30g, 양파 20g, 당근 20g"
햄버거스테이크,굽기,반찬,420.4,8,30.4,29.6,193.2,"다진 돼지고기 60g, 다진 소고기 60g, 다진 마늘 10g,
로즈마리 2g, 빵가루 20g, 후춧가루 0.2g, 파프리카 20g,
 양파 20g, 플레인요거트 20g, 설탕 10g,
매실액 10g, 식초 5g, 녹말가루 10g,
 어린잎 5g"
유자삼치구이,굽기,반찬,498.2,35,45.3,19.7,159.9,"삼치 150g, 소금 0.3g, 녹말 20g, 식용유 10g,
 생강 10g, 유자청 50g, 레몬 20g"
냉토마토파스타,끓이기,일품,202.3,34.1,8.1,3.7,213.5,"토마토 50g, 브로컬리 20g, 펜네 100g, 올리브오일 10g,
후춧가루 0.1g,
 마늘 10g, 양파 20g, 당근 20g, 방울토마토 50g,
올리브오일 10g, 육수 400g, 설탕 10g,
소금 0.3g, 레몬즙 10g, 월계수잎"
닭고기또띠아,굽기,반찬,516.4,82.8,21.6,11,831.7,"또띠아 50g, 닭고기살 100g, 느타리버섯 20g, 사과 20g,
오이 20g, 파프리카 20g, 애호박 20g, 양파 20g, 식초 10g,
 아몬드 10g, 우유 20g, 머스터드 20g, 올리고당 20g"
닭고기스테이크,끓이기,반찬,222.4,8,26.3,9.5,226.1,"닭고기살 120g, 소금 0.5g, 후춧가루 0.1g, 생강 5g,
정종 5g, 우유 50g, 오이 20g, 토마토 20g,
두부 80g, 흑임자 20g, 우유 50g"
오징어순대,찌기,반찬,325.2,6.9,39.1,15.7,242.5,"통오징어 100g, 양파 20g, 당근 20g, 부추 20g,
견과류 20g, 두부 50g, 대파 10g, 마늘 10g, 소금 0.5g,
녹말가루 10g, 정종 10g, 레몬 10g, 생강 5g"
연어차우더스프,끓이기,일품,217.6,23.2,11.7,8.7,215.4,"모시조개 50g, 연어 100g, 청피망 20g, 당근 20g,
양파 20g, 감자 50g, 밀가루 10g, 버터 5g, 육수 200g,
월계수잎 통후추 생크림 30g, 통마늘 10g"
시금치브로컬리 파스타,끓이기,일품,400.5,68.4,15.3,7.3,77.2,"새우 스파게티 100g, 시금치 30g,
브로콜리 50g, 바질 10g, 생크림 50g, 올리브오일 10g,
소금  0.2g"
야채찜을 곁들인 광어스테이크,찌기,일품,259,16,18.9,13.2,398.9,"광어 당근 30g, 단호박 30g, 가지
파프리카 50g, 콜리플라워 50g, 레몬 와사비 5g,
발사믹소스 50g, 저염간장 30g, 청주 15g"
연근부각,튀기기,반찬,162.2,25.3,2.6,5.6,67.7,"연근 60g, 식초 10g, 천일염 0.1g, 계피가루 20g,
식용유 200g"
오이냉국을 곁들인 오색쌈밥,끓이기,밥,379.4,77,9,4,522.8,"돼지고기 안심 100g, 쌀 200g, 도라지 30g, 애호박
양파 30g, 홍고추 미나리 20g, 오이 50g, 청포묵 20g,
쌈무 20g, 달걀 라이스페이퍼 고추장 20g,
소금 0.3g, 참기름 5g, 고춧가루 10g"
카레탄두리치킨과 닭가슴살냉채,굽기,일품,304.9,26.7,16.7,14.6,427,"닭고기 오곡 50g, 인삼 대추
아스파라거스 당근 20g, 양파 30g, 오이 50g,
파프리카 50g, 카레가루 20g, 디종머스터드 30g"
컬리플라워소스 광어스테이크,굽기,일품,99.8,10.8,10.6,1.6,167.7,"광어 콜리플라워 50g, 감자 30g, 양파 20g,
시금치 20g, 가지 단호박 당근 30g,
우유 200g, 소금 0.2g, 후춧가루 0.01g"
콜라비오미자 물김치,기타,반찬,71.6,15.6,1.7,0.2,151.4,"콜라비 오미자 20g, 무화과 20g, 파프리카 50g,
피망 30g, 쪽파 10g, 양파 30g, 건새우 10g, 다시마 10g,
소금 0.3g"
크림소스치킨롤,끓이기,일품,401,10.9,24.6,28.8,262.9,"닭고기 가슴살 150g, 새우 베이컨 20g,
마늘 20g, 바질 5g, 아스파라거스 새송이버섯
치즈 버터 10g, 소금 0.2g, 후춧가루 0.01g"
표고버섯 감자찜,찌기,반찬,176.8,37.6,5.4,0.5,108.3,"표고버섯 감자 200g, 고수 10g, 당근 30g, 양파 30g,
홍고추 녹말 20g"
해물애호박 전병말이,굽기,반찬,408.4,66.2,10.7,11.2,256.8,"새우 오징어 50g, 애호박 당근 20g,
깻잎 대추 밀가루 100g, 찹쌀가루 50g,
저염간장 20g, 식초 10g, 설탕 10g, 소금 0.2g"
찬밥이용닭죽,끓이기,밥,234.5,29.8,20.2,3.3,327.6,"찬밥 60g, 닭다리살 80g, 감자 30g, 통마늘 15g, 양파 10g, 당근 8g, 부추 5g, 물 700g, 소금 0.75g, 후춧가루 0.3g"
감자느타리버섯국,끓이기,국&찌개,53.3,6.8,5.2,0.8,404,"감자 30g, 느타리버섯 15g, 두부 8g, 파 5g, 물 300g, 국멸치 5g, 홍고추 3g, 건다시마 3g, 다진 마늘 3g, 소금 0.5g"
민어매운탕,끓이기,국&찌개,147.7,11.7,16.2,4.6,532.1,"민어 50g, 쇠고기 양지15g, 다진 마늘 1.25g, 후추 0.25g, 참기름 0.5g, 무 40g, 애호박 20g, 애느타리버섯 20g, 풋 고추 5g, 홍고추 2.5g, 쑥갓 10g, 대파 5g, 생강즙 0.5g, 물 300g, 소금 0.5g,  간 홍고추 10g, 간 양파 10g, 다진 마늘 2g, 국간장 2.5g, 간장 2.5g, 맛술 5g, 굵은 고춧가루 5g, 고운 고춧가루 1.25g"
아몬드치킨볼,굽기,반찬,210.7,4.95,15.02,6.13,55.5,"양송이버섯 5g, 버터 10g, 닭다리살 30g, 닭가슴살 50g, 아몬드 5g,
밀가루 10g, 우유 50g, 들깻가루 30g, 브로콜리 15g, 마늘 10g,
육수 닭뼈 90g, 양파 10g, 양송이버섯 밑동 5g, 마늘 5g"
양배추롤,굽기,반찬,227.8,18.36,12.01,6.75,127.6,"현미 50g, 멥쌀 50g, 다시마 2g, 새우가루 15g, 양배추 50g,
얇게 썬 쇠고기 부채살 80g, 송송 썬 붉은 고추 5g,
달래무침 달래 10g, 간장 10g, 참기름 5g"
생선베이컨말이,굽기,반찬,105.6,1.53,18.71,10.56,146.5,"피망 5g, 파프리카 10g, 시금치 15g, 저염베이컨 60g,
동태포 30g, 저염버터 10g, 생크림 10g, 새싹채소 0.1g"
콩고기샐러드,굽기,반찬,333.2,19.26,13.13,6.88,426.2,"콩고기 30g, 아보카도 10g, 바나나 10g, 가지 10g,
연근 10g, 방울토마토 10g, 만두피 20g,
저염간장양념 저염간장 2.5g, 물 25g, 설탕 3g,
허브오일드레싱 저염소금 1g, 식초 5g, 로즈마리 1g, 통후추 1g,
올리브유 15g, 꿀 5g"
퀴노아닭가슴살샐러드,볶기,반찬,173.5,7.25,9.14,2.55,33.8,"수박껍질 17g, 토마토 17g, 닭가슴살 80g, 감자 27g, 가지 17g,
양파 17g, 피망 34g, 아스파라거스 30g, 퀴노아 8g, 리코타치즈 5g,
양상추 9g, 플레인 요구르트 25g, 어린잎채소 1g,
복분자소스 복분자 50g, 레몬즙 10g"
바나나크림파스타,끓이기,일품,684,21.25,5.99,12.89,327.8,"바나나 150g, 아보카도 110g, 토마토 100g, 저염베이컨 46g, 3장
바질가루 1g, 마늘 10g, 양파 20g, 휘핑크림 80g, 저염치즈 40g,
우유 200g, 소금 2g, 스파게티면 60g"
산채쌀파스타,끓이기,일품,176.7,23.01,3.47,1.15,297.3,"신선초 3g, 참나물 3g, 취나물 3g, 적겨자 3g, 깻잎 2g, 양파 8g,
오이 6g, 붉은 고추 5g, 풋고추 5g, 쌀파스타면 160g,
파스타소스 된장 4g, 청국장 16g, 양파 15g, 애호박 10g, 으깬 두부 25g,
다진 마늘 10g, 들기름 3g"
